id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
1860;Sunset Salad Book;N/A;1962;Hardcover;Lane Book Co.;N/A;Poor;0;George & Patty;Food, Cooking;1.15;160;NULL;"The Versatile Salad. This book contains recipes for all types of salads\\; the classic tossed green, vegetable, meat or seafood, egg or pasta, fruit, and molded or frozen as well as salad dressings for the finishing touch.";1860;NULL;2
1923;The Treasures of Tutankhamun in San Francisco;"Silverman, Harold I.\\; Jay Stewart";1979;Staple-bound;California Living Books;N/A;Good;10;Aaron & Tina's;Exhibition, Art, History;0.2;32;9;An illustrated guidebook to the Egyptian art exhibit which toured the US in the 1970s and 80s, a curated collection of fifty-five items loaned from the Egyptian Museum of Cairo.;1923;Food stain on inside of cover. ;2
1062;Designing News: Changing the World of Editorial Design and Information Graphics;Franchi, Francesco;2013;Hardcover;gestalten;Franchi, Francesco;Like New;60;Aaron & Tina's;Design, Editorial;NULL;NULL;N;Francesco Franchi's perceptive book about the design of media and information graphics. In it, Franchi also envisions the future of news reporting by publishing companies and on the internet. Francesco Franchi is one of the most exceptional talents working in information graphics today. Although relatively young and new to the field, Franchi has already received worldwide acclaim for his distinctive graphic and Edited byial design of IL--Intelligence in Lifestyle, an Italian magazine now widely considered to be a modern classic. With Designing News, Franchi conveys his vision for the future of news and the media industry. Based on personal insight and experience, he offers valuable analysis and perspectives on the fundamental changes that are taking place in the way media is being used. Franchi explores consumer behaviors and expectations that represent the biggest challenges facing traditional publishing houses and broadcasting companies as well as journalists and designers. For Franchi, reporting is not merely filing a story once, but rather telling a continuous narrative in a way that is most relevant for a broad range of traditional and digital media--from breaking news to analysis, from interviews to commentaries, and from photo essays and illustrations to information graphics and interactive visualizations of data. In this book, Franchi explains the ramifications of this development and how newspapers can become credible, comprehensive news brands. In Designing News, Franchi also outlines a new, integrated approach for Edited byial designers. If they show enough dedication, creativity, and talent for interdisciplinary teamwork, Franchi sees Edited byial designers as playing a key role in advancing the evolution of media.;1062;NULL;2
1325;Red Dot Design Yearbook: Working (2016/2017);Zec, Peter;2016;Hardcover;Red Dot Editions;Various;Like New;30;Aaron & Tina's;Design, Compilation, Reference;7.5;487;9;NULL;1325;Part of a book set of 4;2
1326;Red Dot Design Yearbook: Enjoying (2016/2017);Zec, Peter;2016;Hardcover;Red Dot Editions;Various;Like New;30;Aaron & Tina's;Design, Compilation, Reference;7.5;487;9;NULL;1326;Part of a book set of 4;2
1327;10 X 10 _ 2;Various;2005;Hardcover with jacket;Phaidon;Various;Used;20;Aaron & Tina's;Architecture, Reference;9;468;9;NULL;1327;NULL;2
1328;Typography 21: Annual of the Type Directors Club;Type Director Club;2001;Hardcover with jacket;Watson-Guptill;Various;Used;10;Aaron & Tina's;Graphic Design, Typography, Reference;3.15;304;9;NULL;1328;NULL;2
1063;Beguiled by the Wild: The Art of Charley Harper;Caras, Roger (with Charley Harper);2016;Hardcover w/ Jacket;Pomegranate;Harper, Charley;Like New;30;Aaron & Tina's;Illustration, Animals, Art;NULL;NULL;N;"Presenting more than 110 serigraphs accompanied by intriguing, pun-filled captions, this new, revised edition of Beguiled by the Wild pays homage to one of America's most beloved artists. Charley Harper (1922-2007), with his masterly use of simple geometric shapes, patterns, and vivid colors, distilled the essence of each bird, bug, otter, raccoon, or elephant he painted to its most important details. He called his style of painting \"minimal realism. . . . Instead of trying to put everything in when I paint, I try to leave everything out. . . . I reduce the subject to the simplest possible visual terms without losing identity, thereby enhancing identity.\" Harper's approach to depicting the natural world is both sophisticated and fun. His works--especially those of cardinals and ladybugs--have become icons of wildlife art. This edition of Beguiled by the Wild comprises all of Harper's serigraphs produced from 1968 to 2007. The original text by Roger Caras and Charley Harper is joined by a new commentary from the artist's son, Brett Harper.";1063;NULL;2
1064;Bruno Munaris Abc;Munari, Bruno;2006;Hardcover with jacket;Chronicle;Munari, Bruno;Fine;10;Aaron & Tina's;Children's, Illustration;NULL;NULL;N;NULL;1064;Form library book;2
1065;The Visual Display of Quantitative Information;Tufte, Edward R.,;1983;Hardcover with jacket;Graphics Press;Tufte, Edward R.,;Fine;30;Aaron & Tina's;Science, Design, Data, Visual Graphics, Information;NULL;NULL;N;Guide to statistical graphics, with emphasis on its use as a statistical method and applications in data analysis and mapping - includes chapters on aesthetics and the methodology of preparing graphs and visual aids. Illustrations and references.;1065;1st edition (January 1, 1983);2
1066;The River;Sanna, Alessandro;2014;Hardcover with jacket;Enchanted Lion Books;Sanna, Alessandro;Like New;40;Aaron & Tina's;Children's, Illustration;NULL;NULL;N;NULL;1066;First edition;2
1067;Christo and Jeanne-Claude. The Floating Piers (English and Italian Edition);Volz, Wolfgang & Jonathan William Henery;2016;Paperback;Taschen;Christo and Jeanne-Claude;Good;20;Aaron & Tina's;Art, Fine-Art;NULL;NULL;N;" From June 18 to July 3, 2016, 100 kilometers east of Milan and 200 kilometers west of Venice, thousands of people will walk on water. The Floating Piers by Christo and Jeanne-Claude deploys 70,000 square meters of shimmering yellow fabric above a modular floating dock system of 220,000 high-density polyethylene cubes to create a temporary three-kilometer walkway across the surface of Lake Iseo, connecting the mainland to the islands of Monte Isola and San Paolo.  The piers are 16 meters wide and approximately 40 centimeters high, with sloping sides. Visitors experience the artwork by walking from Sulzano to Monte Isola and over to San Paolo. The mountains surrounding the lake also offer a bird’s-eye view of the project, revealing unnoticed angles and perspectives.  The Floating Piers is Christo and Jeanne-Claude’s first large-scale project since they realized The Gates in 2005 and draws upon their established history of projects in Italy, including Wrapped Fountain and Wrapped Medieval Tower in Spoleto, 1968\\; Wrapped Monuments in Milan, 1970\\; and The Wall – Wrapped Roman Wall in Rome, 1973–74. As with all of Christo and Jeanne-Claude’s projects, The Floating Piers is funded entirely through the sale of Christo’s original works of art. After the 16-day exhibition, all components will be removed and recycled.  This book presents rich photographic coverage of The Floating Piers alongside sketches, models, documents and designs, revealing the process behind this waterborne work of art. Incorporating everything from approval procedures to the manufacture of fabric and anchoring elements, it testifies not only to Christo and Jeanne-Claude’s unique creative imagination but also to the immense technical, bureaucratic, and logistical feats that allowed the concept to take float.";1067;NULL;2
1068;Christo & Jeanne-Claude: The Gates;Christo and Jeanne-Claude;2005;Paperback;Taschen;Christo and Jeanne-Claude;Good;20;Aaron & Tina's;Art, Fine-Art;NULL;NULL;N;In February 2005, Christo and Jeanne-Claude will complete a monumental work of art in New York City's Central Park. The project, first conceived in 1979, will feature 7500 16-foot-high vinyl gates lining the park's paths, from which will hang saffron-colored fabric panels. Seen from the buildings surrounding the park, The Gates will look like a golden, flowing river, while those walking through them will experience the ambience of a fluid, golden ceiling. The temporary work of art will remain in place for 16 days, after which it will be disassembled and the materials recycled. The installation will be free for all visitors, who can continue to use Central Park undisturbed during the whole process. This historic event is intended to provide a memorable and joyous experience for every New Yorker, and TASCHEN will document this project from start to finish in two editions.;1068;NULL;2
1076;Midsummer Snowballs;Goldsworthy, Andy;2001;Hardcover with jacket;Harry N. Abrams;Goldsworthy, Andy;Good;20;Aaron & Tina's;Art, Fine-Art;NULL;NULL;N;NULL;1076;NULL;2
1077;Stop Stealing Sheep & Find Out How Type Works;Spiekermann, Erik;1993;Softcover;Adobe;Spiekermann, Erik;Fine;1;Aaron & Tina's;Reference, Guide, Typography;NULL;NULL;N;NULL;1077;NULL;2
1078;The Laws of Simplicity (Simplicity: Design, Technology, Business, Life);Maeda, John;2006;Hardcover with jacket;MIT Press;Maeda, John;Like New;5;Aaron & Tina's;Design, Life, Graphic Design;NULL;NULL;N;NULL;1078;NULL;2
1082;We Love Magazines (Books);Koedinger, Mike;2007;Paperback;gestalten;NULL;Good;30;Aaron & Tina's;Reference, Graphic Design;NULL;NULL;N;NULL;1082;One of Aaron's projects is featured in it.;2
1086;Victore or, Who Died and Made You Boss?;Victore, James & Michael Bierut;2010;Hardcover with jacket; Harry N. Abrams;Victore, James;Like New;30;Tualumne;Design, Monograph;NULL;NULL;N;"In his first book, iconoclastic designer James Victore gives fans a survey of his work and his no-holds-barred take on the practice, business, and teaching of graphic design today. Known for making vivid, memorable, and often controversial work, Victore has sought comrades, not clients--brave, smart collaborators who have encouraged him to reinterpret old design solutions and to pressure viewers to think about issues in a new way. Leading readers through this collection of \"greatest hits,\" Victore tells the stories behind his inspirations, his process, and the lessons learned. The result is an inspiring, funny, and honest book, which showcases a body of work that has been plastered on the streets of New York, hung at MoMA, and featured in magazines all over the world.";1086;NULL;2
1087;Solid Gold: 40 Years of Award-Winning Magazine Design from the Society of Publications Designers;Various;2006;Softcover with jacket;Rockport;NULL;Like New;10;Tualumne;Reference, Compilation;NULL;NULL;N;SPD's Solid Gold: 40 Years of Award-Winning Magazine Design celebrates the most outstanding, innovative, and lasting achievements in editorial design published in the last 40 years. It is an aesthetic hall of fame and essential reference tool for graphic designers, artists, editors, photographers, and students.;1087;NULL;2
1329;Typography 15: Annual of the Type Directors Club;Type Director Club;1994;Hardcover;Watson-Guptill;Various;Used;10;Aaron & Tina's;Graphic Design, Typography, Reference;2.2;224;9;NULL;1329;NULL;2
1678;It Is What It Is;2x4;2009;Hardcover;2x4;2x4;Like New;200;Aaron & Tina's;Graphic Design, Monograph;2.75;1000;9;"\"It Is What It Is, a portrait of our studio in 1,000 images. With this book we attempt to derive a master narrative from the chaotic, day-to-day process of making design, and in so doing, to reveal the way we work, what we think about, and how what we think about becomes what we make.\"";1678;NULL;2
1088;Drawing Fashion: A Century of Fashion Illustration;Chariau, J.;2011;Hardcover with jacket;Prestel;Various;Fine (cover is damaged);20;Tualumne;Illustration, Art;NULL;NULL;N;This stunning survey reveals the genre of fashion drawing to be an art form in its own right. Drawing Fashion celebrates renowned art dealer Jo'lle Chariau's unique collection of some of the most remarkable fashion illustrations from the twentieth and twenty-first centuries. These original works define the fine art of illustrating fashion, from Poiret, Chanel, Balenciaga, and Dior to Comme des Garçons, McQueen, and Viktor & Rolf. This catalogue, which accompanies the exhibition at the Design Museum in London, showcases fashion illustrators at their creative heights: Lepape at the beginning of the century, Bérard in the 1930s and Forties, Cecil Beaton in the Fifties, Antonio from the Sixties to the Eighties, and current artists Mats Gustafson, François Berthoud, and Aurore de La Morinerie. In their engaging and highly informative essays, Germany Times Magazine journalist Holly Brubach and London Sunday Times chief fashion writer Colin McDowell reveal how the art of drawing fashion continues to reflect not only the spirit and style of the decades, but also the wider social and cultural changes of the past century.;1088;NULL;2
1089;Visual Explanations: Images and Quantities, Evidence and Narrative;Tufte, Edward R.,;1997;Hardcover with jacket;Graphics Press;NULL;Fine;20;Tualumne;Information Design, Data Visualization ;NULL;NULL;N;Visual Explanations: Images and Quantities, Evidence and Narrative is about pictures of verbs, the representation of mechanism and motion, process and dynamics, causes and effects, explanation and narrative. Practical applications and examples include statistical graphics, charts for making important decisions in engineering and medicine, technical manuals, diagrams, design of computer interfaces and websites and on-line manuals, animations and scientific visualizations, techniques for talks, and design strategies for enhancing the rate of information transfer in print, presentations, and computer screens. The use of visual evidence in deciding to launch the space shuttle Challenger is discussed in careful detail. Video snapshots show redesigns of a supercomputer animation of a thunderstorm. The book is designed and printed to the highest standards, with luscious color throughout and four built-in flaps for showing motion and before/after effects.;1089;NULL;2
1090;Genius Moves: 100 Icons of Graphic Design ;Heller, Steven;2001;Hardcover with jacket;North Light Books;Various;Poor;5;Tualumne;Graphic Design;2.95;208;9;The art of graphic design is in a constant state of change, evolving dramatically, reinterpreting the past to create the future. This collection showcases the twentieth century's most influential designs, highlighting the connection between work that proceeded and followed each piece.;1090;NULL;2
1095;Mtiv: Process, Inspiration and Practice for the New Media Designer;Curtis, Hillman;2002;Flexi-cover;New Riders;Curtis, Hillman;Fine;15;Tualumne;Graphic Design, Media;2.15;239;9;MTIV (Making the Invisible Visible) is an indispensable guide for the new age of media design. This book is about HOW to achieve the results that bring in profits and make you a better designer. This beautifully written and designed book unveils the methods behind Hillman Curtis' phenomenal success as a new media designer. In well-crafted narrative and instructional form, Hillman outlines his systematic approach for working with clients to develop clear, cogent, and creative communication.;1095;First design book bought by Aaron;2
1096;Area;Various;2005;Flexi-cover;Phaidon;Various;Fine;30;Tualumne;Reference, Compilation, Graphic Design;5.95;448;9;Following in the footsteps of Cream and Fresh Cream, 10x10, Blink, and Spoon, Area is an up-to-the-minute, global overview of graphic design. This image-filled book presents the work of 100 of the worlds most innovative emerging graphic designers, showcasing work from such wide-ranging projects as corporate identity, poster design, book design, packaging, typography and CD cover design. The 100 designers were selected by a distinguished group of 10 curators from around the world all highly established and influential figures in the field of graphic design. Each curator selected and wrote about 10 exciting talents whom they consider to have made a name for themselves on the international scene over the last five years.;1096;NULL;2
1924;Malahide Castle;Wynne, Michael;1978;Staple-bound;Eason and Son Ltd;N/A;Good;10;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;NULL;9;NULL;1924;"\"2-1-81\" written inside.";2
1925;Guide to Poets' Corner: Westminster Abbey;Lewis, Cecil Day;1979;Staple-bound;English Counties Periodicals Ltd.;N/A;Good;5;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;33;NULL;NULL;1925;NULL;2
9;The American Heritage Picture History of the Civil War (2 Volumes);Ketchum, Catton;1960;Hardcover w/ slipcase;American Heritage Publishing Co.;NULL;Used, Fair Condition;45;Sycamore:;History, America;NULL;NULL;N;836 pictures illustrating the Civil War with a narrative that covers both military and political aspects of the war.;9;NULL;2
10;Genius Of Leonardo Da Vinci, The;Andre Chastel;1961;Hardcover, Missing Jacket;Orion Press;NULL;Used;35;Sycamore: 4th, Left;Art;NULL;NULL;N;NULL;10;"First Edition, \"For George Luke from Mom, January 1978\" written inside";2
415;Creating with Polymer Clay: Designs, Techniques & Projects;"Ford, Steven\\; Dierks, Leslie";1996;Softcover;Lark;NULL;Like New;14;Sycamore:;Hobbies, Crafts, DIY;NULL;NULL;N;NULL;415;NULL;2
1097;LOT/EK: Urban Scan;Tolla, Ada;2002;Paperback with jacket;Princeton Architectural Press;LOT/EK;Fine;10;Tualumne;Graphic Design, Environmental Design;NULL;NULL;N;"The New York-based architectural firm LOT/EK (pronounced \"low-tech\") has made a distinctive mark on the architectural landscape through a series of seemingly whimsical projects that make a point of using prefabricated industrial materials in unexpected ways. In their hands, a shipping container can be transformed into a mobile working unit, a museum, or a restaurant. In the process, they question our relation to the industrial environment and the artificiality of the urban landscape. Lot/Ek: Urban Scan, the first and only monograph on the firm, is organized categorically and alphabetically. Twenty-three projects are presented in detail, including American Diner (a restaurant in a container), the InspiroTrainer (created for the Museum of Modern Art), Mixer (a cement mixer-cum-video immersion unit), the Meltzer Gallery, the Boon boutique, the MDU (Mobule Dwelling Unit), and the Goree Memorial and Museum. It also includes more than 1,000 photographs of infrastructural objects--everything from air conditioners to water tanks--that serve as the raw material and inspiration for this creative practice.";1097;NULL;2
1098;Why Not Associates ?2;Various;2004;Hardcover;Thames & Hudson;Why Not Associates;Really Bad;5;Tualumne;Monograph, Design;NULL;NULL;N;Why Not is one of the UK's most influential and important design studios. This volume brings together a dazzling spectrum of Why Not's projects from the last six years. The projects range from exhibition design and magazine work to public art and architecture-scale urban projects.;1098;NULL;2
1099;2d Visual Perception: Elementary Phenomena of Two-Dimensional Perception. A Handbook for Artists and Designers;Zwimpfer, Moritz;1999;Hardcover with jacket;Niggli Verlag;NULL;Like New;50;Tualumne;Instructional, Resource, Collections, Typography, Graphic Design;NULL;NULL;N;The time-related dimension of image perception is increasingly heightened because the sequence of moving pictures is so strongly accelerated by virtue of the very short cuts that it becomes impossible for the viewer to make out the individual elements. Under these conditions he loses every notion of autonomy opposite these images, meaning also that he can be manipulated by. With the aid of more than 200 pictures, elementary phenomena of visual perception are described in this book that one encounters on a daily basis. Brief accompanying texts encourage the viewer to give the pictures his deeper attention in order to consciously experience the phenomena. This book gives a comprehensive, clearly structured overview, and the illustrated examples span from two-dimensional form and color phenomena to the formation of spatial perception up to the influence that emotions and logic have upon perception.;1099;NULL;2
1857;Julia Child & Company;Child, Julia;1978;Paperback;Knopf;N/A;Good;5;George & Patty;Food, Cooking;NULL;241;9;Features recipes that will be shown on Child's new series in addition to presenting dishes and alternate selections for thirteen meals she has matched up with different types of guests.;1857;"\"To Pat and George, Bud and Lucille Klint\" written inside. ";2
1100;Type-One: Discipline and Progress in Typography;Various;2004;Hardcover, Dye-Cut;Die Gestalten Verlag;Various;Bad;5;Tualumne;Graphic Design, Compilation;NULL;NULL;N;Typography today exists in conflict with classical font design and contemporary influences such as analogue distortion, screen applications, street culture, deconstruction and hand lettering. Type One not only presents an overview of the diversity in current typography, but also investigates conventions that have become established and valid new approaches. In addition to a rich selection of typefaces and their applications, the book features articles by and interviews with international experts such as Jean François Rappot, Norm and Professor Tanja Diezmann. Topics range from the democratization of the font creation process by the computer to how much existing approaches are based on the same fonts. These texts are edited and commented by Silja Bilz, former project director at the renowned Linotype Library.  While Type One provides practical context and examples, it also investigates the experimental and inspirational side of font design. This combination makes the book an ideal resource for anyone seeking an up to date exploration and understanding of typography.;1100;NULL;2
1101;ABC+;Fetis, Laurent;2002;Hardcover;gestalten;Fetis, Laurent;Like New;2;Tualumne;Monograph, Design;NULL;NULL;N;"Darling of the Paris fashion scene and leading exponent of the new wave in French graphic design, Laurent Fétis has been highly acclaimed for his modern take on 60s/70s psychedelia, adorning countless posters, magazines and album covers. But don't be fooled, Laurent has a lot more to offer. A tireless contributor to the worlds best design magazines, Fétis is a meticulous, exacting and obsessive worker. His method forms a stark contrast to the playful characters and organic, richly coloured shapes and figures that often populate his universe, as seen in commissioned work for Roman and Sofia Coppola, Lars von Trier, or the Parisian arts temple \"Palais De Tokyo\". Very personal and revealing a much broader base of influences (60s sci-fi etc.) than expected, ABC+ (a play on the French expression A+ \"until later\") also allows a peek at Fétis's lesser known forays into photography and minimal, Swiss-style typography . Possibly his best-kept secret and best work to date. Beneath the silver fabric cover Fétis once again proves himself to be extremely versatile and - the dream of every self-respecting designer - extremely good at all disciplines.";1101;NULL;2
1926;Chester: Cathedral and City;N/A;1972;Staple-bound;Jarrold and Sons;N/A;Like New;5;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;28;NULL;NULL;1926;NULL;2
1927;Westminster Abbey;N/A;1964;Staple-bound;Jarrold and Sons;N/A;Like New;5;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;28;NULL;NULL;1927;NULL;2
49;Jungle Books, The;Kipling, Rudyard;1968;Hardcover w/ slipcase;Heritage Press;Gentlemen, David (illustrator);Good;35;Sycamore: 5th, Right;Novel, Fiction;NULL;NULL;N;NULL;49;Sandglass included.;2
115;Lancia;Michael Frostick;1976;Hardcover w/ Jacket;Dalton Watson;NULL;Used, Good shape;60;Sycamore: Dining Room Cabinet;Hobbies, Automobiles;NULL;NULL;N;NULL;115;"First Edition, \"G.L.K\" stamp inside, slightly torn jacket";2
1102;Akademie X: Lessons in Art + Life;Various;2015;Paperback;Phaidon;Various;Like New;30;Tualumne;Reference, Compilation, Writing;NULL;NULL;N;"Assembled from the wisdom of 36 legendary art teachers – all of them artists or critics at the top of their field – Akademie X: Lessons in Art + Life is an ideal curriculum for the aspiring artist.  Each of the book’s \"tutors\" has provided a unique lesson that aims to provoke, inspire and stimulate the aspiring artist. These lessons cover some combination of the following: technical advice (e.g. don’t make a sculpture bigger than your studio door), assignments (some of which will take five minutes to complete, others five years), tips for avoiding creative ruts (including suggestions for mind‐expanding materials to read, watch or listen to), principles of careful looking (demonstrated with images of artworks, photographs, films or even billboard advertisements), advice on the daily practice of art (how to balance time alone in the studio with building an artistic community), career pointers (how to prepare for a studio visit from a curator or gallerist) and personal anecdotes (e.g. stories from the instructor’s own humble beginnings). Taken together, these lessons offer the reader a set of tools for thinking, seeing and living as an artist.  Not only is Akademie X: Lessons in Art + Life the first illustrated text book of its kind for artists, but it will also appeal to anyone interested in contemporary art, providing first hand revelations into the philosophies and techniques of some of the world’s best artists and writers.";1102;NULL;2
1111;All Access: The Making of Thirty Extraordinary Graphic Designers The Making of 30 Extraordinary Graphic Designers;Bucher, Stefan G.;2004;Hardcover with jacket;Rockport;Various;Fine;1;Aaron & Tina's;Graphic Design;NULL;NULL;N;"All Access takes a \"before they were stars\" look at twenty-five giants in the graphic design industry by juxtaposing an edited selection of the stars' greatest hits with their \"pre-fame\" work. Author Stefan Bucher showcases their visual history, the first pieces that made them stars, their transitional work, and the eventual breakthrough pieces that caused their names to be known around the world. Insightful text exploring mentors, education, and eureka moments complement this visual timeline illustrating the journey from struggling novice to master designer. In addition to the twenty-five giants, Bucher also profiles twenty of the most exciting upcoming design stars from around the globe. As with the masters, Bucher explores their road to early success, and showcases the work that is currently lifting these young designers into the spotlight. These are their early days, yet the work they are producing is groundbreaking and inspiring.";1111;NULL;2
1112;This Gun Is for Hire: Peronal, Cultural and Corporate Design Projects Personal, Cultural and Corporate Design Projects;Klanten, R.;2004;Hardcover;Gestalten;Various;Fine;5;Aaron & Tina's;Graphic Design;NULL;NULL;N;This Gun Is for Hire is a guidebook that provides insight into the ongoing challenge of translating personal design approaches into viable  and paid  commercial projects. The book illustrates how designers and clients can work together to develop projects that are both commercially successful and push creative limits. Not only is This Gun Is for Hire full of examples of recent corporate, graphic and product design projects that truly inspired their creators, their clients and their clients customers, but it also presents them in such a way that others can learn from them.  The diverse projects from international designers such as Eikes Grafischer Hort, Fons Hickmann, Attik, Chocolate Skateboard and Hansen Ho are depicted with impressive visuals and are accompanied by text explaining the original briefing and the circumstances leading up to either their implementation or a lost pitch. The book is rounded out by a series of interviews with and essays by working designers on issues including corporate communications, inspiration, and creative development clarifying how the design process and client relations are interrelated.;1112;NULL;2
1113;Keith Haring;Deitch, Jeffrey;2008;Hardcover (Board Book);Rizzoli;Keith Haring;Very Good;300;Aaron & Tina's;Art, Illustration;NULL;NULL;9;"Closely based on Haring’s own concept for the monograph he wanted to publish before his untimely death, this volume represents more than a decade of research and contains a wealth of unpublished photographic and written material including drawings, studio photographs, and journal entries. From chalk drawings deep in the New York City subways to murals in Pisa and Berlin\\; collaborations with William Burroughs and the famous body painting of Grace Jones, this book follows the incredible trajectory of Keith Haring’s artistic career: how a young man from a small town in rural Pennsylvania came to revolutionize the art world—and the course of art history—within little more than a decade. An incredibly prolific artist, Keith Haring created countless bold, provocative, endearing, and unforgettable images that continue to inspire artists—and delight children—worldwide. Tracing the arc from his early subway \"tags\" to his poignant work on social issues as diverse as AIDS, illiteracy and apartheid, this visually stunning book is the definitive work on Keith Haring.";1113;NULL;2
1114;American Beauty: Aesthetics and Innovation in Fashion;Mears, Patricia;2009;Hardcover with jacket;Yale University Press;N/A;N/A;45;Aaron & Tina's;Design History & Criticism, Fashion History;3.5;NULL;9;"American beauty, aesthetics and innovation in fashion is the first exhibition to explore how the \"philosophy of beauty\" is allied to the craft of dressmaking. Each of the 75 looks on display was chosen to exemplify the relationship between technical ingenuity and artistic excellence. Curator Patricia Mears has focused on approximately 25 American fashion designers, ranging from the obscure, such as Jessie Franklin Turner, whose work dates from the late 1910s, to rising stars of the present day, such as the Mulleavy sisters of Rodarte. Other designers featured include Adrian, Bonnie Cashin, Maria Cornejo, James Galanos, Halston, Elizabeth Hawes, Charles James, Charles Kleibacker, Claire McCardell, Norman Norell, Rick Owens, Ralph Rucci, Isabel Toledo, Pauline Trigère, Valentina, Yeohlee, and Jean Yu";1114;N/A;2
1161;Romantik;Various;2003;Paperback;Die Gestalten Verlag ;Various;Fine;5;Aaron & Tina's;Graphic Design;1.75;144;9;Romantik presents approaches to expand the forms of expression of modern computer graphics and to develop stylistic devices beyond the canon of forms of the 90s. Where tidy surfaces and clear lines fill the room defined, you can now find colorful collages and ornaments that radiate warmth, closeness and commitment.;1161;NULL;2
1162;Abbott Miller: Design and Content;Miller, Abbott;2014;Hardcover;Princeton Architectural Press;Miller, Abbott;Like New;20;Aaron & Tina's;Graphic Design, Monograph;3.42;NULL;9;Abbott Miller: Design and Content is the first monograph on the award-winning graphic designer known for his innovative work at Pentagram, where as a partner he leads a team designing books, magazines, catalogs, identities, exhibitions, and editorial projects, creating work that is often concerned with the cultural role of design and the public life of the written word. Collaborating with performers, curators, artists, photographers, writers, publishers, corporations, and institutions, Miller has created a unique practice that alternates between the printed page and the physical space of exhibitions. In his work as an editor and writer he pioneered the concept of designer-as-author, both roles he assumes for this beautifully produced and lavishly illustrated edition. Miller presents his work as a catalog of design strategies, emerging from the unique circumstances of form and content. Four categories—books, exhibitions, magazines, and identity—provide insight into Miller's influences and working process while also showcasing his best designs.;1162;NULL;2
1163;Display Copy Only, Print, Film, New Media: A Book of Intro Work;Shaughnessy, Adrian;2002;Paperback;Five Degrees Below Zero ;Various;Used;15;Aaron & Tina's;Graphic Design, Monograph;1.8;NULL;9;"The tremendous practicality of these clever little design books has made them enormously popular among idea-hungry designers. Each one presents hundreds of creative variations on a key design element—from type and graphics to layouts and color. They are sure to offer an elegant solution to any design challenge—even under a tight deadline. Each book is portable, packed with inspiration and neatly packaged in a colorful, sturdy vinyl jacket.Intro is part of the new wave of innovative design and digital media companies. At a time when society is swamped by consumer messages, and when all the big design groups are delivering \"sameness,\" the British-based firm Intro challenges the prevailing mindset by producing provocative work.Display Copy Only contains the best of Intro's portfolio and reflects their diverse client list from Deutsche Bank to Depeche Mode. Perhaps best known for their music industry work with artwork for musicians including Primal Scream, Stereolab and Robbie Williams, their current projects stretch well beyond the confines of the music business. Other clients include a mixture of blue-chip companies, media-related businesses and arts organizations.";1163;NULL;2
1164;The Best American Infographics 2014;Cook, Gareth;2014;Paperback;Mariner Books;Various;Fine;5;Aaron & Tina's;Graphic Design, Information Design, Data Viz;1.75;NULL;9;NULL;1164;NULL;2
1165;Infiltrate: The Front Lines of the NYC Design Scene;Musolino, Nic;2004;Paperback;Adbusters;Various;Very Good;30;Aaron & Tina's;Graphic Design, Compilation;3.25;NULL;9;Infiltrate is a comprehensive collection of contemporary, cutting-edge New York design. It features established and emerging studios together with some extraordinary, little known companies and individuals. Each of the 30 ground-braking designers is interviewed and all artworks is captioned. Infiltrate is full of creative energy, experiments, challenging ideas and unexpected solutions. Designers include 2X4, Big Magazine, Cristoph Niemann, Honest, Kevin Lyons, Onegine, Ryan McGinness, Hunter Gatherer, Stefan Sagmeister, Stiletto, and William Van Roden. Includes. Informative essays and interviews by Ellen Kampinsky, Jessie Scanlon, Alice Twemlow, Helen Walters and Laetitia Wolff. Previously announced.;1165;NULL;2
1170;CD Art: Innovation in Cd Packaging Design;Rivers, Charlotte;2005;Hardcover (Board Book);Rotovision;Various;Used;5;Aaron & Tina's;Graphic Design, Product Design;2;NULL;9;This is a comprehensive collection of the best contemporary CD cover designs, featuring many previously unpublished examples from the cutting edge. Both design professionals and music lovers will find inspiration from the varied and exciting work featured: from well-known designers like Stefan Sagmeister (Lou Reed and many others) Malcolm Garrett (Buzzcocks) and Peter Saville (Joy Division, New Order) to Tomato (Underworld), Farrow (The Pet Shop Boys), and lesser-known names and in-house teams (such as the RCS designers who worked with the The Strokes and the Foo Fighters) who have used this medium as a widely disseminated platform for experimentation and free expression.;1170;Wow, this didn't age well.;2
1171;Installationview;McGinness, Ryan;2005;Paperback;Rizzoli;McGinness, Ryan;Fine;5;Aaron & Tina's;Graphic Design, Illustration;2.86;NULL;9;NULL;1171;Wow, this didn't age well.;2
